Large Indoor Concert Hall: Very Heavy Crowd Ambience with Constant Walla;Sound Ideas;Concert Crowd Sound Effects;1570548024
Large Indoor Concert Hall: Very Heavy Crowd Ambience with Constant Walla;Sound Ideas;Concert Crowd Sound Effects;1570548074
Rock Concert Crowd;Audio Sound Effects;Royalty Free Sound Effects Volume #1;1570558275
Electronic Fire Alarm 2;Sound Ideas;Fire Fighters Sound Effects;1570558318
Male Group: Working in Rock Quarry, Up Close;Sound Ideas;Crowds and Applause Sound Effects;1570559716
Intro;Jose Mari Chan;Strictly Commercial (The Jingles Collection);1570562124
Angels;The xx;Coexist;1570565462
Need You Now;Lady Antebellum;Need You Now;1570565519
Midnight - Live In Buenos Aires;Coldplay;Live in Buenos Aires;1570565774
Twisted Logic;Coldplay;X&Y;1570567518
Til Kingdom Come;Coldplay;X&Y;1570567789
Free Bird;Lynyrd Skynyrd;(Pronounced 'Leh-'Nérd 'Skin-'Nérd);1570573902
No Goodbye - Paul Woolford Remix;Paul Kalkbrenner;No Goodbye (Paul Woolford Remix);1570574858
Changes - 2015 Remaster;David Bowie;Hunky Dory (2015 Remastered Version);1570619672
It's the End of the World as We Know It (and I Feel Fine);R.E.M.;Document (R.E.M. No. 5);1570619981
Paint It, Black;The Rolling Stones;Aftermath;1570620227
The Only Living Boy in New York;Simon & Garfunkel;Bridge Over Troubled Water;1570620430
Message in a Bottle;The Police;Reggatta de Blanc (Remastered 2003);1570620669
The Logical Song - Remastered 2010;Supertramp;Breakfast In America (Deluxe Edition);1570620960
Cat People (Putting Out Fire) - Single Version, 2002 Remastered Version;David Bowie;Platinum Collection;1570621211
Cat People (Putting Out Fire) - Single Version, 2002 Remastered Version;David Bowie;Platinum Collection;1570621211
China Girl - 2002 Remaster;David Bowie;China Girl;1570621464
Space Oddity - 2015 Remaster;David Bowie;David Bowie (aka Space Oddity) [2015 Remaster];1570621762
Heroes - 2017 Remaster;David Bowie;"Heroes" (2017 Remastered Version);1570622082
The Seeker - Edit;The Who;Meaty, Beaty, Big And Bouncy;1570622453
Under My Thumb;The Rolling Stones;Aftermath;1570622645
A Horse With No Name;America;America;1570622867
What Is Life;George Harrison;All Things Must Pass (Remastered);1570623120
Solsbury Hill;Peter Gabriel;Peter Gabriel 1: Car (Remastered);1570623385
Who Are You;The Who;Who Are You;1570623647
Cosmic Dancer;T. Rex;Electric Warrior;1570624029
Once in a Lifetime - 2005 Remaster;Talking Heads;Remain In Light (Deluxe Version);1570624296
All Along the Watchtower;Jimi Hendrix;Electric Ladyland;1570624560
She's A Rainbow - Full Version / With Intro;The Rolling Stones;Through the Past, Darkly (Big Hits Vol. 2);1570624801
The Spirit of Radio;Rush;Permanent Waves;1570625054
The Boxer;Simon & Garfunkel;Bridge Over Troubled Water;1570625351
Let's Dance - 2018 Remaster;David Bowie;Let's Dance (2018 remaster);1570625659
Ziggy Stardust - 2012 Remaster;David Bowie;The Rise And Fall Of Ziggy Stardust And The Spiders From Mars (2012 Remastered Version);1570626118
Brown Sugar - Remastered;The Rolling Stones;Sticky Fingers (Remastered);1570626313
Heart of Gold - 2009 Remaster;Neil Young;Harvest (2009 Remaster);1570626542
Perfect Day;Lou Reed;Transformer;1570626730
Good Old-Fashioned Lover Boy - Remastered 2011;Queen;A Day At The Races (Deluxe Edition 2011 Remaster);1570626955
The Man Who Sold The World - 2015 Remastered Version;David Bowie;The Man Who Sold The World (2015 Remastered Version);1570627129
Angie;The Rolling Stones;Goats Head Soup (Remastered 2009);1570627371
All the Young Dudes;Mott the Hoople;All The Young Dudes (Expanded Edition);1570627643
Hurricane;Bob Dylan;Desire;1570627854
Stairway to Heaven - Remaster;Led Zeppelin;Led Zeppelin IV (Deluxe Edition);1570628368
Movin' On Up;Primal Scream;Screamadelica;1570628851
Graceland;Paul Simon;Graceland (Alben für die Ewigkeit);1570629080
Ashes to Ashes - 2017 Remaster;David Bowie;Scary Monsters (And Super Creeps) [2017 Remastered Version];1570629372
Fly Like an Eagle;Steve Miller Band;Fly Like An Eagle;1570629638
Boys Don't Cry;The Cure;Three Imaginary Boys;1570629921
Golden Brown;The Stranglers;La Folie;1570630078
Pinball Wizard;The Who;Tommy;1570630285
Little Wing;Jimi Hendrix;Axis: Bold As Love;1570630467
Do You Realize??;The Flaming Lips;Yoshimi Battles The Pink Robots (U.S. Version);1570630613
London Calling - Remastered;The Clash;London Calling (Remastered);1570630827
This Time Tomorrow;The Kinks;Lola Versus Powerman And The Moneygoround, Pt. One;1570631056
Wish You Were Here - 2011 Remastered Version;Pink Floyd;Wish You Were Here [Remastered] (Remastered Version);1570631257
Sympathy For The Devil - 50th Anniversary Edition;The Rolling Stones;Beggars Banquet (50th Anniversary Edition);1570633124
Menschen Leben Tanzen Welt;Jim Pandzko;Menschen Leben Tanzen Welt (feat. Jan Böhmermann);1570695474
